,movie_id,movie_imdb_link,certificate,runtime_in_mins,genre,imdb_rating,number_of_votes,metascore,top_director,release_year,awards_link,awards_total,top_writer,top_star_1,top_star_2,top_star_3,num_user_reviews,num_critic_reviews,release_date,country_of_origin,top_production_company,budget_in_usd,opening_weekend_us_can_in_usd,gross_us_can_in_usd,gross_worldwide_in_usd,total_award_nominations,total_award_wins,primary_genre,secondary_genre,release_weekday,release_month,is_among_best_director,top_production_company_grouped,country_of_origin_grouped
38,tt11466222,https://www.imdb.com/title/tt11466222/?ref_=adv_li_tt,Adult,96.0,"Action, Comedy, Reality-TV",6.9,43057.0,74.0,Jeff Tremaine,2022,https://www.imdb.com/title/tt11466222/awards/?ref_=tt_awd,Showing all 1 win and 1 nomination,Jason 'Wee Man' Acuña,Johnny Knoxville,Steve-O,Chris Pontius,297.0,113.0,2022-02-04,United States,Dickhouse Productions,10000000.0,23154388.0,57743451.0,80339718.0,1.0,1.0,Action,Comedy,5,2.0,N,Other,United States
39,tt10731256,https://www.imdb.com/title/tt10731256/?ref_=adv_li_tt,Adult,123.0,"Drama, Thriller",6.2,41782.0,48.0,Olivia Wilde,2022,https://www.imdb.com/title/tt10731256/awards/?ref_=tt_awd,Showing all 1 win and 3 nominations,Katie Silberman,Florence Pugh,Harry Styles,Chris Pine,513.0,219.0,2022-09-23,United States,New Line Cinema,20000000.0,19353213.0,45003822.0,85103822.0,3.0,1.0,Drama,Thriller,5,9.0,N,Other,United States
41,tt10665342,https://www.imdb.com/title/tt10665342/?ref_=adv_li_tt,Adult,111.0,"Horror, Thriller",5.0,41265.0,47.0,David Gordon Green,2022,https://www.imdb.com/title/tt10665342/awards/?ref_=tt_awd,Showing all 0 wins and 1 nomination,John Carpenter,Jamie Lee Curtis,Andi Matichak,James Jude Courtney,1300.0,251.0,2022-10-14,United States,Blumhouse Productions,20000000.0,40050355.0,62445190.0,98020935.0,1.0,0.0,Horror,Thriller,5,10.0,N,Other,United States
46,tt15325794,https://www.imdb.com/title/tt15325794/?ref_=adv_li_tt,+13/14,107.0,Thriller,6.4,37715.0,62.0,Scott Mann,2022,https://www.imdb.com/title/tt15325794/awards/?ref_=tt_awd,0,Jonathan Frank,Grace Caroline Currey,Virginia Gardner,Mason Gooding,492.0,151.0,2022-08-12,United Kingdom,Tea Shop Productions,3000000.0,2512145.0,7240521.0,16458053.0,0.0,0.0,Other,Other,5,8.0,N,Other,Other
49,tt8115900,https://www.imdb.com/title/tt8115900/?ref_=adv_li_tt,Parental Guidance,100.0,"Animation, Adventure, Comedy",6.8,35647.0,64.0,Pierre Perifel,2022,https://www.imdb.com/title/tt8115900/awards/?ref_=tt_awd,Showing all 1 win and 0 nominations,Aaron Blabey,Sam Rockwell,Marc Maron,Awkwafina,296.0,139.0,2022-04-29,United States,Other,70000000.0,23950245.0,97046600.0,248158600.0,0.0,1.0,Animation,Adventure,5,4.0,N,Other,United States
52,tt11252248,https://www.imdb.com/title/tt11252248/?ref_=adv_li_tt,+13/14,101.0,"Comedy, Drama",6.5,32933.0,61.0,Reid Carolin,2022,https://www.imdb.com/title/tt11252248/awards/?ref_=tt_awd,Showing all 2 wins and 0 nominations,Reid Carolin,Channing Tatum,Ryder McLaughlin,Aavi Haas,334.0,117.0,2022-02-18,United States,Metro-Goldwyn-Mayer (MGM),15000000.0,14883928.0,61778069.0,84774243.0,0.0,2.0,Comedy,Drama,5,2.0,N,Other,United States
53,tt15474916,https://www.imdb.com/title/tt15474916/?ref_=adv_li_tt,Adult,115.0,Horror,6.9,32757.0,68.0,Parker Finn,2022,https://www.imdb.com/title/tt15474916/awards/?ref_=tt_awd,0,Parker Finn,Sosie Bacon,Jessie T. Usher,Kyle Gallner,518.0,172.0,2022-09-30,United States,Paramount Players,17000000.0,22609925.0,96257075.0,190357075.0,0.0,0.0,Horror,Other,5,9.0,N,Other,United States
56,tt10223460,https://www.imdb.com/title/tt10223460/?ref_=adv_li_tt,+13/14,112.0,"Comedy, Music, Romance",6.1,30811.0,51.0,Kat Coiro,2022,https://www.imdb.com/title/tt10223460/awards/?ref_=tt_awd,Showing all 1 win and 0 nominations,John Rogers,Jennifer Lopez,Owen Wilson,Maluma,489.0,175.0,2022-02-11,Japan,Universal Pictures,23000000.0,7949980.0,22438180.0,50447401.0,0.0,1.0,Comedy,Other,5,2.0,N,Universal Pictures,Other
61,tt8356942,https://www.imdb.com/title/tt8356942/?ref_=adv_li_tt,+13/14,122.0,"Action, Thriller",5.5,28942.0,40.0,Simon Kinberg,2022,https://www.imdb.com/title/tt8356942/awards/?ref_=tt_awd,0,Theresa Rebeck,Jessica Chastain,Penélope Cruz,Bingbing Fan,454.0,180.0,2022-01-14,China,Universal Pictures,75000000.0,4621765.0,14570455.0,27825413.0,0.0,0.0,Action,Thriller,5,1.0,N,Universal Pictures,Other
62,tt11851548,https://www.imdb.com/title/tt11851548/?ref_=adv_li_tt,Adult,99.0,"Crime, Drama, Horror",5.9,28191.0,54.0,William Brent Bell,2022,https://www.imdb.com/title/tt11851548/awards/?ref_=tt_awd,0,David Coggeshall,Isabelle Fuhrman,Julia Stiles,Rossif Sutherland,398.0,157.0,2022-09-09,United States,Dark Castle Entertainment,10000000.0,1739557.0,5413227.0,37083743.0,0.0,0.0,Crime,Drama,5,9.0,N,Other,United States
71,tt8093700,https://www.imdb.com/title/tt8093700/?ref_=adv_li_tt,+13/14,135.0,"Action, Drama, History",6.8,23440.0,77.0,Gina Prince-Bythewood,2022,https://www.imdb.com/title/tt8093700/awards/?ref_=tt_awd,0,Dana Stevens,Viola Davis,Thuso Mbedu,Lashana Lynch,324.0,144.0,2022-10-14,United States,TriStar Pictures,50000000.0,19051442.0,65259367.0,87959367.0,0.0,0.0,Action,Drama,5,10.0,N,Other,United States
76,tt11827628,https://www.imdb.com/title/tt11827628/?ref_=adv_li_tt,Adult,114.0,"Action, Crime, Thriller",5.7,21212.0,41.0,Martin Campbell,2022,https://www.imdb.com/title/tt11827628/awards/?ref_=tt_awd,0,Dario Scardapane,Liam Neeson,Guy Pearce,Taj Atwal,253.0,94.0,2022-06-17,United States,Black Bear Pictures,30000000.0,3113298.0,7329043.0,13897255.0,0.0,0.0,Action,Crime,5,6.0,Y,Other,United States
