,Title,Winner,Award,Year
2235,Akim Tamiroff,N,Supporting Actor,1936
2236,Gale Sondergaard,Y,Supporting Actress,1936
2237,Beulah Bondi,N,Supporting Actress,1936
2238,Alice Brady,N,Supporting Actress,1936
2239,Bonita Granville,N,Supporting Actress,1936
2240,Maria Ouspenskaya,N,Supporting Actress,1936
2241,Mutiny on the Bounty,Y,Picture,1935
2242,A Midsummer Night's Dream,N,Picture,1935
2243,Alice Adams,N,Picture,1935
2244,Broadway Melody of 1936,N,Picture,1935
2245,Captain Blood,N,Picture,1935
2246,David Copperfield,N,Picture,1935
2247,Les Misérables,N,Picture,1935
2248,Naughty Marietta,N,Picture,1935
2249,Ruggles of Red Gap,N,Picture,1935
2250,The Informer,N,Picture,1935
2251,The Lives of a Bengal Lancer,N,Picture,1935
2252,Top Hat,N,Picture,1935
2253,Victor McLaglen,Y,Actor,1935
2254,Clark Gable,N,Actor,1935
2255,Charles Laughton,N,Actor,1935
2256,Franchot Tone,N,Actor,1935
2257,Bette Davis,Y,Actress,1935
2258,Elisabeth Bergner,N,Actress,1935
2259,Claudette Colbert,N,Actress,1935
2260,Katharine Hepburn,N,Actress,1935
2261,Miriam Hopkins,N,Actress,1935
2262,Merle Oberon,N,Actress,1935
2263,It Happened One Night,Y,Picture,1934
2264,Cleopatra,N,Picture,1934
2265,Flirtation Walk,N,Picture,1934
2266,Here Comes the Navy,N,Picture,1934
2267,Imitation of Life,N,Picture,1934
2268,One Night of Love,N,Picture,1934
2269,The Barretts of Wimpole Street,N,Picture,1934
2270,The Gay Divorcee,N,Picture,1934
2271,The House of Rothschild,N,Picture,1934
2272,The Thin Man,N,Picture,1934
2273,The White Parade,N,Picture,1934
2274,Viva Villa!,N,Picture,1934
2275,Clark Gable,Y,Actor,1934
2276,Frank Morgan,N,Actor,1934
2277,William Powell,N,Actor,1934
2278,Claudette Colbert,Y,Actress,1934
2279,Bette Davis,N,Actress,1934
2280,Grace Moore,N,Actress,1934
2281,Norma Shearer,N,Actress,1934
2282,Cavalcade,Y,Picture,1933
2283,42nd Street,N,Picture,1933
2284,A Farewell to Arms,N,Picture,1933
2285,I Am a Fugitive from a Chain Gang,N,Picture,1933
2286,Lady for a Day,N,Picture,1933
2287,Little Women,N,Picture,1933
2288,She Done Him Wrong,N,Picture,1933
2289,Smilin' Through,N,Picture,1933
2290,State Fair,N,Picture,1933
2291,The Private Life of Henry VIII,N,Picture,1933
2292,Charles Laughton,Y,Actor,1933
2293,Leslie Howard,N,Actor,1933
2294,Paul Muni,N,Actor,1933
2295,Katharine Hepburn,Y,Actress,1933
2296,May Robson,N,Actress,1933
2297,Diana Wynyard,N,Actress,1933
2298,Grand Hotel,Y,Picture,1932
2299,Arrowsmith,N,Picture,1932
2300,Bad Girl,N,Picture,1932
2301,Five Star Final,N,Picture,1932
2302,One Hour with You,N,Picture,1932
2303,Shanghai Express,N,Picture,1932
2304,The Champ,N,Picture,1932
2305,The Smiling Lieutenant,N,Picture,1932
2306,Wallace Beery,Y,Actor,1932
2307,Fredric March,Y,Actor,1932
2308,Alfred Lunt,N,Actor,1932
2309,Helen Hayes,Y,Actress,1932
2310,Marie Dressler,N,Actress,1932
2311,Lynn Fontanne,N,Actress,1932
2312,Cimarron,Y,Picture,1931
2313,East Lynne,N,Picture,1931
2314,Skippy,N,Picture,1931
2315,The Front Page,N,Picture,1931
2316,Trader Horn,N,Picture,1931
2317,Lionel Barrymore,Y,Actor,1931
2318,Jackie Cooper,N,Actor,1931
2319,Richard Dix,N,Actor,1931
2320,Fredric March,N,Actor,1931
2321,Adolphe Menjou,N,Actor,1931
2322,Marie Dressler,Y,Actress,1931
2323,Marlene Dietrich,N,Actress,1931
2324,Irene Dunne,N,Actress,1931
2325,Ann Harding,N,Actress,1931
2326,Norma Shearer,N,Actress,1931
2327,All Quiet on the Western Front,Y,Picture,1930
2328,Disraeli,N,Picture,1930
2329,The Big House,N,Picture,1930
2330,The Divorcee,N,Picture,1930
2331,The Love Parade,N,Picture,1930
2332,George Arliss,Y,Actor,1930
2333,George Arliss,N,Actor,1930
2334,Wallace Beery,N,Actor,1930
2335,Maurice Chevalier,N,Actor,1930
2336,Maurice Chevalier,N,Actor,1930
2337,Ronald Colman,N,Actor,1930
2338,Ronald Colman,N,Actor,1930
2339,Lawrence Tibbett,N,Actor,1930
2340,Norma Shearer,Y,Actress,1930
2341,Nancy Carroll,N,Actress,1930
2342,Ruth Chatterton,N,Actress,1930
2343,Greta Garbo,N,Actress,1930
2344,Greta Garbo,N,Actress,1930
2345,Norma Shearer,N,Actress,1930
2346,Gloria Swanson,N,Actress,1930
2347,The Broadway Melody,Y,Picture,1929
2348,Alibi,N,Picture,1929
2349,In Old Arizona,N,Picture,1929
2350,The Hollywood Revue of 1929,N,Picture,1929
2351,The Patriot,N,Picture,1929
2352,Warner Baxter,Y,Actor,1929
2353,George Bancroft,N,Actor,1929
2354,Chester Morris,N,Actor,1929
2355,Paul Muni,N,Actor,1929
2356,Lewis Stone,N,Actor,1929
2357,Mary Pickford,Y,Actress,1929
2358,Ruth Chatterton,N,Actress,1929
2359,Betty Compson,N,Actress,1929
2360,Jeanne Eagels,N,Actress,1929
2361,Corinne Griffith,N,Actress,1929
2362,Bessie Love,N,Actress,1929
2363,Wings,Y,Picture,1928
2364,Seventh Heaven,N,Picture,1928
2365,The Racket,N,Picture,1928
2366,Emil Jannings,Y,Actor,1928
2367,Richard Barthelmess,N,Actor,1928
2368,Richard Barthelmess,N,Actor,1928
2369,Janet Gaynor,Y,Actress,1928
2370,Louise Dresser,N,Actress,1928
2371,Janet Gaynor,N,Actress,1928
2372,Janet Gaynor,N,Actress,1928
2373,Gloria Swanson,N,Actress,1928
